GeoName,StateAbbrev,HPI_med,HPI_med_annual_change,Med_house_count,grant_amount,number_of_properties,number_of_grants,protection_grant,accommodation_grant,relocation_grant,planning_grant,protection_amount,accommodation_amount,relocation_amount,planning_amount,unemployment_rate,population,fips,Schools,LawEnforcement,FireEMS,HospitalMedical,Census_Division,amenity_scale,amenity_rank,household_income,hh_income_pct_state_total,Mean_Jan_Temp,Mean_Jul_Temp,Mean_rel_humidity,pct_no_hs,pct_hs_only,pct_some_college,pct_bachelors_or_higher,white_only,black_only,asian_only,native_american_only,multiracial,hispanic,Inundated_2020,Inundated_2100,FP100_2020,FP100_2100,July_avg_temp_19,July_1901_2000_avg,X1,state_fips,Protection,Hardened_Structures_Limited,Accommodation,Retreat,Setback,State_Permitting_Authority,State_Climate_Policy,Years_since_policy_enacted,Standardized_Climate_data_expectations,Emphasized_green_protection,Climate_Policy_Mainstreaming,Years_since_first_state_climate_report,RPS,CAI,Barriers,grants_pc,grant_money_pc,pct_black,pct_hispanic,pct_white,pct_native_american,pct_asian,FP100_change_rate,July_avg_med,region
Chesterfield County,VA,370.17,4.395,127065.5,85480.5445,0.4,0.2,0,0,0.15,0.05,0,0,78479.2445,7001.3,4.1049999999999995,315147,51041,82,13,34,4,5,-0.84,3,81641,106.8,37.5,77.9,72,9.8,24.2,29.5,36.55,225402,70836,10555,1858,7558,22864,500,2668,2115,7750,80,77.7,20,51,1,0,1,1,2,1,0,NA,0,1,2,13,0,2,"resources, and public perceptions",6.34624476831447e-7,0.2712402291628986,22.477129720416187,7.255027019137102,71.52281316338089,0.5895661389764142,3.3492306764779616,70.4375,78.85,East
Chowan County,NC,180.79500000000002,2.025,7302.5,30363.4385,0.2,0.25,0,0.05,0.15,0.05,0,2312.4,27051.0385,1000,7.11,14566,37041,5,2,5,1,5,0.51,4,47126,82.1,42.5,79,78,20.05,33.5,27.4,19.05,9407,5095,53,53,185,467,275,1451,3718,6528,81.2,78.4,15,37,1,1,1,1,2,1,0,NA,0,1,1,0,1,2,politics,1.7163256899629274e-5,2.0845419813263764,34.97871756144446,3.206096388850748,64.58190306192503,0.3638610462721406,0.3638610462721406,35.125,79.80000000000001,East
Citrus County,FL,292.775,5.67,78615.5,284320.19,0.85,0.95,0.1,0.85,0,0,178036.25,106283.94,0,0,7.42,139472,12017,32,8,25,3,5,3.43,5,49762,84.1,59.3,81.8,79,16.65,37.6,30,15.75,132653,4078,2065,499,1937,6584,1475,24000,52850,59284,82.6,80.6,5,12,1,0,1,0,2,1,1,0,0,0,1,12,0,2,"differences in risk perceptions, politics, local decisions favored",6.8114030056212e-6,2.0385467333945164,2.9238843638866583,4.720660777790524,95.11084662154411,0.35777790524262937,1.4805839164850292,80.425,81.6,South
City of Alexandria,VA,950.855,3.565,75613,1707.4,0,0.05,0,0.05,0,0,0,1707.4,0,0,3.155,139126,51510,32,4,13,1,5,-2.25,2,102589,134.2,35.6,78.7,70,10.1,12.15,19.1,58.7,94608,31404,8706,1074,4149,22524,6588,26793,46876,126361,80.6,76.8,20,51,1,0,1,1,2,1,0,NA,0,1,2,13,0,2,"resources, and public perceptions",3.5938645544326727e-7,0.012272328680476691,22.57234449348073,16.189641044808305,68.00166755315325,0.771962106292138,6.257636962178169,993.5625,78.69999999999999,East
City of Baltimore,MD,647.56,3.225,294889.5,62343.5,0,0.8,0,0,0,0.1,0,0,0,10375,7.555,621334.5,24510,290,32,43,31,5,-0.37,3,49780,57.5,36.1,79.4,65,23.2,28.65,22.65,25.5,193022,398274,14922,2745,11970,25960,0,0,0,0,80.4,76.7,9,24,1,0,0,0,2,0,0,NA,0,1,3,13,1,2,"resources, and political divides, perceived risk differences",1.2875512304563806e-6,0.1003380626699467,64.09977234484806,4.178103742830955,31.065714200643935,0.44179101595034564,2.401604932608764,0,78.55000000000001,East
City of Chesapeake,VA,537.0899999999999,2.94,88429.5,567261.705,2.55,0.9,0,0.05,0.5,0.1,0,20908.2,529821.205,15629,4.355,221866,51550,78,12,16,5,5,0.48,4,77361,101.2,40.5,78.3,72,11.4,25.9,33.8,28.95,141323,66955,6534,1014,6357,9706,6568,158757,135555,655231,80.4,77.8,20,51,1,0,1,1,2,1,0,NA,0,1,2,13,0,2,"resources, and public perceptions",4.056502573625522e-6,2.5567761847241126,30.17812553523298,4.374712664401035,63.69745702360885,0.45703262329514205,2.945020868452129,6495.95,79.1,East
City of Hampton,VA,359.46000000000004,2.125,60122,315364.95,1.75,0.35,0,0.2,0,0,0,308017.95,0,0,5.51,137756.5,51650,47,6,17,10,5,1.27,4,55816,73,40.6,78.2,72,11.55,28.55,35.6,24.35,59900,68938,3060,672,4817,6241,3346,47577,119269,233377,81.1,78.7,20,51,1,0,1,1,2,1,0,NA,0,1,2,13,0,2,"resources, and public perceptions",2.5407149571889527e-6,2.2892927012518465,50.04337363391201,4.530457727947502,43.48252169589094,0.48781727178027895,2.2213107911423418,1426.35,79.9,East
City of Hopewell,VA,230.28500000000003,1.65,10248.5,0,0,0,0,0,0,0,0,0,0,0,6.935,22302,51670,9,3,5,1,5,0.26,4,38293,50.1,40.5,79.1,72,23.45,36.3,27.75,12.5,13054,8574,195,101,666,1480,30,852,1507,2067,80.6,78.7,20,51,1,0,1,1,2,1,0,NA,0,1,2,13,0,2,"resources, and public perceptions",0,0,38.44498251277913,6.636176127701551,58.53286700744328,0.4528741816877411,0.8743610438525692,7,79.65,East
City of Newport News,VA,459.015,2.5949999999999998,77301,47354.7,0.4,0.25,0,0,0.1,0.05,0,0,25997.55,5860.1,5.17,181137.5,51700,66,12,16,19,5,1.27,4,53022,69.3,40.6,78.2,72,12.25,29.3,35.35,23.1,92336,74981,5116,1010,7232,13590,4041,10476,21565,40583,81.1,78.7,20,51,1,0,1,1,2,1,0,NA,0,1,2,13,0,2,"resources, and public perceptions",1.380167000207025e-6,0.2614295769788144,41.394520737009174,7.5025878131253885,50.975640052446344,0.5575874680836381,2.824373749223656,237.725,79.9,East
City of Norfolk,VA,647.1500000000001,2.46,96427,831434.95,4.5,0.85,0,0.75,0.1,0,0,722100.15,109334.8,0,5.57,243202.5,51710,87,9,25,19,5,0.48,4,52437,68.6,40.5,78.3,72,16.8,27.6,31.4,24.2,118400,106340,8255,1479,8268,16144,5202,93766,177609,729606,81.3,78.4,20,51,1,0,1,1,2,1,0,NA,0,1,2,13,0,2,"resources, and public perceptions",3.4950298619463202e-6,3.418694092371583,43.724879472867265,6.638089657795458,48.68371007699345,0.6081351959786598,3.3942907659255144,6899.9625,79.85,East
City of Poquoson,VA,529.71,2.035,4750.5,285304.228,3,0.5,0,0.3,0.05,0.1,0,267255.25,6886.75,3164.778,3.59,12030,51735,4,1,3,1,5,1.27,4,98217,128.4,40.6,78.2,72,8.3,26.5,28.35,36.9,11611,82,264,42,151,221,776,35467,42017,58304,81.1,78.7,20,51,1,0,1,1,2,1,0,NA,0,1,2,13,0,2,"resources, and public perceptions",4.1562759767248545e-5,23.716062177888613,0.6816292601828761,1.8370739817123858,96.51704073150457,0.3491271820448878,2.1945137157107233,203.5875,79.9,East
City of Portsmouth,VA,519.5350000000001,2.84,40890.5,10852.5,0,0.1,0,0,0,0.05,0,0,0,1665,6.035,96205.5,51740,32,3,11,9,5,0.48,4,50411,65.9,40.5,78.3,72,18.25,29.75,34.15,17.85,40345,51218,1054,451,2459,2919,2926,28355,55428,220241,81.2,78.6,20,51,1,0,1,1,2,1,0,NA,0,1,2,13,0,2,"resources, and public perceptions",1.0394416119660519e-6,0.11280540093861578,53.23812048167724,3.034130065328905,41.93627183477036,0.4687881669966894,1.0955714590122185,2060.1625,79.9,East
City of Suffolk,VA,510.28,2.8049999999999997,35335,0,0,0,0,0,0,0,0,0,0,0,4.715,84199,51800,25,5,10,8,5,0.17,4,77847,101.8,39.7,77.6,72,16.65,28.35,31.6,23.4,44713,36399,1376,288,1798,2415,2743,11896,12121,35062,80.1,78,20,51,1,0,1,1,2,1,0,NA,0,1,2,13,0,2,"resources, and public perceptions",0,0,43.229729569234784,2.868205085571087,53.103956103991734,0.34204681765816697,1.6342236843667974,286.7625,79.05,East
City of Virginia Beach,VA,595.3900000000001,2.52,182189,420746.9175,1.55,0.65,0.15,0.2,0,0.1,15400.8,336872.3,0,12836.7,4.025,438299,51810,135,7,38,19,5,1.18,4,78491,102.6,40.5,78.3,72,8.05,23.45,36.45,32.05,304156,88140,27401,1925,16310,28987,11167,154951,169471,884247,80.8,77.7,20,51,1,0,1,1,2,1,0,NA,0,1,2,13,0,2,"resources, and public perceptions",1.483005893237265e-6,0.9599540895598666,20.10955991229731,6.613521819579785,69.39463699438055,0.4391978991510362,6.251668381629892,8934.7,79.25,East
City of Williamsburg,VA,266.235,2.8600000000000003,5099.5,11352.8,0,0.05,0,0,0,0.05,0,0,0,11352.8,7.15,13707,51830,4,3,3,2,5,1.15,4,56569,74,39.3,77.5,72,7.85,19.75,21.5,50.9,10762,2011,826,45,424,941,237,1738,785,3200,80.8,78,20,51,1,0,1,1,2,1,0,NA,0,1,2,13,0,2,"resources, and public perceptions",3.647771211789597e-6,0.8282483402640985,14.671335813817757,6.86510542058802,78.51462756255928,0.3282994090610637,6.026118041876413,30.1875,79.4,East
Clallam County,WA,452.70500000000004,4.075,36441.5,44378.05,0.05,0.45,0,0,0,0.3,0,0,0,22092.8,8.22,71290,53009,38,6,24,10,9,6.52,6,57571,73.2,38.5,55.9,63,11,27.05,37.9,24.1,63239,652,1023,3862,2616,3627,835,2713,2693,5695,59.1,57.8,21,53,1,0,0,0,1,0,0,NA,0,0,1,9,1,1,"local resources, liability fears",6.31224575676813e-6,0.6225003506803198,0.914574274091738,5.087670079955113,88.70669098050217,5.417309580586338,1.4349838687052883,37.525,58.45,West
Clatsop County,OR,484.46500000000003,4.21,22048,70444.05,0,0.2,0.1,0,0,0.05,63236.65,0,0,2645.25,6.32,37030,41007,21,12,21,3,9,4.97,6,59339,88.6,40.6,60,70,11.15,27.85,39.2,21.75,34856,217,484,424,1053,2838,2158,6817,8525,19008,62.1,59.7,16,41,1,0,1,0,1,1,0,NA,0,0,1,11,1,1,conflicting and partisan perceptions of need/economic development,5.401026194977046e-6,1.9023507966513638,0.5860113421550095,7.664056170672427,94.12908452605994,1.1450175533351337,1.307048339184445,131.0375,60.900000000000006,West
Clay County,FL,325.33000000000004,5.835,78330.5,497564.55,0.8,1.35,0.35,0.65,0.15,0,164201.8,165086.5,40624.3,0,5.21,190276,12019,63,5,17,2,5,2.01,4,75776,128,58.2,82.7,75,10.9,31.35,35.2,22.5,159597,19397,5776,957,5123,14609,2513,36093,19193,84055,82.5,80.7,5,12,1,0,1,0,2,1,1,0,0,0,1,12,0,2,"differences in risk perceptions, politics, local decisions favored",7.094956799596376e-6,2.614962212785638,10.194139040131178,7.677794361874329,83.87657928482835,0.5029536042380542,3.0355904055161975,810.775,81.6,South
Colleton County,SC,254.09499999999997,3.435,19974.5,12050.4045,0.15,0.25,0,0.1,0,0,0,7461.5,0,0,7.635,38394,45029,21,5,37,3,5,0.67,4,40808,72.4,48.6,80.3,79,21.9,41.2,23.85,13.05,22626,15242,153,347,521,1094,1275,1947,5448,3729,81.9,80.3,18,45,1,1,0,1,2,1,0,NA,0,1,1,0,0,1,differences between property owners and governance priorities,6.511434078241392e-6,0.3138616580715737,39.698911288222114,2.849403552638433,58.93108298171589,0.9037870500599052,0.39849976558837313,21.4875,81.1,East
Collier County,FL,586.4449999999999,8.095,205276,1589279.35,2.6,2,0.45,1.05,0.05,0,429335.1,496113.1,11700,0,5.775,320533,12021,97,15,53,5,5,5,6,76415,129.1,65.2,82.4,72,15.55,26,26.25,32.15,290791,21759,3771,1592,3598,83177,3585,378515,102680,1069763,83.5,82,5,12,1,0,1,0,2,1,1,0,0,0,1,12,0,2,"differences in risk perceptions, politics, local decisions favored",6.239607154333563e-6,4.9582394012472975,6.7883806035572,25.94959021380014,90.72108020079057,0.4966727294849516,1.1764779289495935,12088.5375,82.75,South
Contra Costa County,CA,926.73,7.92,407758.5,219481.295,0.05,0.3,0.1,0,0,0.15,192582.6,0,0,23597.945,5.915,1045215,6013,340,24,90,11,9,8.36,7,106555,132.5,49.3,61.6,74,11.8,18.55,31,38.7,724805,102211,156532,10314,54887,255560,3886,60915,27531,215416,71.8,70.7,2,6,1,0,1,1,1,1,1,11,0,1,2,15,1,3,"resources, local municipality priority differences",2.870222872806073e-7,0.20998674435403245,9.778945001746052,24.450471912477337,69.34506297747353,0.986782623670728,14.97605755753601,2348.5625,71.25,West
Coos County,OR,537.8499999999999,4.715,30846.5,65766.05,0.4,0.2,0,0,0.15,0.05,0,0,64050.25,1715.8,8.45,63043,41011,30,15,34,4,9,5.53,6,49504,73.9,44.6,59,70,14.8,30.45,38.35,16.4,57753,278,673,1708,2626,3391,565,2862,4886,9776,64.1,61.6,16,41,1,0,1,0,1,1,0,NA,0,0,1,11,1,1,conflicting and partisan perceptions of need/economic development,3.17243785987342e-6,1.0431935345716417,0.4409688625224053,5.378868391415383,91.6089018606348,2.7092619323319007,1.0675253398474056,61.125,62.849999999999994,West
Craven County,NC,289.85,1.69,46433,397662.033,3.6,0.95,0,0.5,0.25,0.15,0,258045.133,129730.2,6990,6.325,102031,37049,31,8,46,9,5,0.19,4,53372,93,45,79.6,78,14.55,28,35.15,22.3,74608,23532,2147,577,2636,6272,4104,20873,26240,48816,81.3,78.8,15,37,1,1,1,1,2,1,0,NA,0,1,1,0,1,2,politics,9.310895708167126e-6,3.8974628593270673,23.063578716272506,6.147151355960443,73.12287442051925,0.5655144024855191,2.1042624300457704,282.2,80.05,East
Cumberland County,ME,618.49,3.75,141665.5,15318.55,0,0.2,0,0.15,0,0,0,10723.95,0,0,3.945,281721.5,23005,150,29,94,9,1,1.05,4,75254,127.9,21.5,68,75,7.4,25.2,26.55,40.9,262972,7094,5866,968,4762,5045,2016,11696,7561,50425,71.8,67.9,8,23,1,0,1,1,2,1,1,15,1,0,2,17,1,3,local political differences,7.099209680482321e-7,0.05437479922547622,2.5180896736670793,1.7907756419016652,93.34466840478983,0.3436017485353443,2.0821981992854646,535.8,73.19999999999999,Northeast
Cumberland County,NJ,459.395,1.8599999999999999,56349.5,1068029.133,5.3,0.5,0.1,0.05,0.1,0,46077.5,605,940072,0,8.515,153302,34011,70,13,41,4,2,0.38,4,54179,63.2,33.2,76,60,26.05,37.85,22.4,13.65,114501,33798,2104,2479,3977,42457,4111,13810,21016,22492,78.8,74.6,13,34,1,0,1,1,2,0,0,NA,0,1,1,0,1,1,resources and partisanship,3.26153605301953e-6,6.966831045909381,22.046679103990815,27.695007240610035,74.68982792135785,1.617069575087083,1.3724543711106183,18.45,73.19999999999999,Northeast
Currituck County,NC,189.32,2.19,15231,17822.95,0.05,0.1,0,0.05,0,0,0,7997.3,0,0,4.93,23526,37053,10,3,16,1,5,0.88,4,70699,123.2,42.3,78.8,78,15.95,31.6,34.05,18.4,21495,1386,159,109,394,704,14430,101900,64442,187846,80.8,78,15,37,1,1,1,1,2,1,0,NA,0,1,1,0,1,2,politics,4.250616339369209e-6,0.7575852248576044,5.891354246365723,2.992433902915923,91.36699821474113,0.46331718099124375,0.6758479979597042,1542.55,79.4,East
Curry County,OR,251.105,5.245,12811,120791.9,0.05,0.35,0.05,0.05,0.05,0.05,27187.5,8233.3,12847.15,1715.8,8.455,22359.5,41015,8,8,15,2,9,6.47,6,51267,76.6,47,58.5,70,14,29.75,35.7,20.5,20928,71,161,440,764,1201,149,157,235,306,64.8,63.5,16,41,1,0,1,0,1,1,0,NA,0,0,1,11,1,1,conflicting and partisan perceptions of need/economic development,1.5653301728571748e-5,5.402263020192759,0.31753840649388404,5.371318678861335,93.59779959301416,1.967843645877591,0.7200518795143004,0.8875,64.15,West
Dare County,NC,342.345,2.79,34137.5,303494.8,2.65,0.4,0,0.3,0,0,0,297801.6,0,0,7.115,33830.5,37055,13,10,28,2,5,1.63,4,63033,109.8,45,78.5,78,8.6,25.2,35,31.2,32119,877,213,161,547,2210,6590,104979,78559,199151,80.8,78.9,15,37,1,1,1,1,2,1,0,NA,0,1,1,0,1,2,politics,1.1823650256425416e-5,8.971040924609449,2.592335318721272,6.532566766675043,94.94095564653198,0.4759019228211229,0.6296093761546533,1507.4,79.85,East
Del Norte County,CA,353.555,4.43,11335.5,221932.8,0.1,0.45,0.05,0,0,0.2,2968.05,0,0,24217.3,8.935,27814,6015,21,4,16,1,9,10.75,7,48979,60.9,46.8,58.3,60,24.15,29.25,33.7,12.9,22805,1094,991,2458,1251,5093,149,253,260,2807,64.4,64.4,2,6,1,0,1,1,1,1,1,11,0,1,2,15,1,3,"resources, local municipality priority differences",1.6178902710865032e-5,7.979175954555259,3.9332710145969654,18.31092255698569,81.99108362695046,8.837276191845833,3.5629539081038324,31.8375,64.4,West
Dorchester County,MD,247.44,3.135,16712.5,35646.519,0.6,0.4,0,0.2,0,0.15,0,27518.75,0,4377.769,7.27,32138.5,24019,19,4,19,5,5,0.2,4,48709,56.2,35.8,76.9,72,18.95,40.3,24.2,16.6,22458,9132,304,130,594,1130,1663,10704,11819,11982,80.9,76.8,9,24,1,0,0,0,2,0,0,NA,0,1,3,13,1,2,"resources, and political divides, perceived risk differences",1.2446131586726201e-5,1.1091531652068392,28.414518412495916,3.516032173250152,69.87880579367426,0.4044992765686015,0.9459060005911913,2.0375,80.7,East
Dorchester County,SC,369.395,4.225,58350,2052556.141,0.8,0.75,0.2,0.15,0.1,0.1,1712284.0814999999,23908.772,69840.4875,9275,5.505,135295,45035,35,9,28,3,5,-1.11,3,68051,120.7,47.4,80.3,79,14.05,28.5,32.65,24.8,94524,35583,2102,971,3360,6075,3811,27656,11079,60975,82.2,80.5,18,45,1,1,0,1,2,1,0,NA,0,1,1,0,0,1,differences between property owners and governance priorities,5.543442107986253e-6,15.170968188033557,26.300306737129976,4.490188107468864,69.86510957537233,0.7176909715806201,1.553642041464947,623.7,80.7,East
Douglas County,OR,375.11,3.79,49719.5,124228,0.9,0.5,0.1,0.15,0,0.05,43281.5,13688.15,0,3738,9.005,106989.5,41019,59,11,57,6,9,6.78,6,48940,73.1,40.9,68.2,26,14.7,33.5,36.5,15.3,100917,335,1079,2033,3287,5055,427,774,1263,2072,65.2,64.1,16,41,1,0,1,0,1,1,0,NA,0,0,1,11,1,1,conflicting and partisan perceptions of need/economic development,4.673355796596862e-6,1.16112328779927,0.3131148383719898,4.724762710359428,94.32420938503311,1.9001864668962845,1.008510180905603,10.1125,64.65,West
Dukes County,MA,341.905,3.7800000000000002,17615.5,44199.15,0,0.3,0.05,0,0,0.15,27483.5,0,0,8864.9,5.51,16472.5,25007,9,9,10,1,1,2.89,5,76036,88.7,31.8,68,66,7.4,23.4,27.55,41.65,15149,544,134,201,507,384,164,3631,3397,7450,73.6,69.8,10,25,1,1,1,0,0,1,0,NA,1,0,2,10,1,2,"resources, public perceptions, political patisanship, lack of planning horizon",1.8212171801487327e-5,2.683208377599029,3.3024738200030352,2.331157990590378,91.96539687357718,1.220215510699651,0.8134770071331007,50.6625,71.69999999999999,Northeast
Dutchess County,NY,565.3399999999999,3.175,119996,332999.95,0.05,0.55,0.05,0.1,0.05,0.3,5000,32410,16370,38557.45,4.94,294290,36027,140,14,74,16,2,-0.07,3,84564,117.4,26.5,74.6,62,12.45,27.4,28.75,31.3,247729,31004,10747,1335,6649,31267,406,1607,3866,5923,75.5,71,14,36,1,1,1,0,2,1,0,2,0,1,2,11,1,3,"politics, local decision-making favored",1.8689048217744403e-6,1.1315367494648136,10.535186380780862,10.62455401134935,84.17853138061096,0.4536341703761596,3.651840021747256,25.7125,73.25,Northeast
Duval County,FL,397.46000000000004,6.734999999999999,397392.5,1950469.093,15.15,3.2,0.25,1.4,1.1,0,67518.25,932467.7845,683167.9085,0,5.96,862711.5,12031,319,17,74,18,5,2.31,4,58339,98.5,54.6,81,75,13.75,28.45,31.8,25.95,543179,258548,36845,3875,21758,65398,20506,244258,118844,613967,82.4,80.9,5,12,1,0,1,0,2,1,1,0,0,0,1,12,0,2,"differences in risk perceptions, politics, local decisions favored",3.7092353585178824e-6,2.2608590392037202,29.969230733565045,7.580517936761015,62.96183602513702,0.4491652191955248,4.2708367745184805,6189.0375,81.65,South
Escambia County,FL,305.89,4.065,139112.5,7638171.496,571.65,2.6,0.2,1.85,0.25,0.05,198550.75,5321935.047,1369290.0489999999,10500,5.75,298870,12033,112,15,36,10,5,2.34,5,52822,89.2,52.1,81.8,74,13.7,27.75,34.7,23.75,208623,68925,8339,2728,8967,14061,1232,33350,66077,118375,82.1,81.3,5,12,1,0,1,0,2,1,1,0,0,0,1,12,0,2,"differences in risk perceptions, politics, local decisions favored",8.69943453675511e-6,25.55683573460033,23.06186636330177,4.70472111620437,69.80392812928699,0.9127714390872286,2.7901763308461875,653.725,81.69999999999999,South
Essex County,MA,784.115,4.74,310548,1987474.2735,2.1,1.9,0.5,0.7,0,0.5,199307.25,1058090.8,0,30063.1735,5.52,742273.5,25009,337,39,93,14,1,1.43,4,83253,97.1,27.8,69.7,66,13.05,26.6,24.85,35.6,656752,40755,24325,5946,15284,122745,11452,119954,104042,270265,73.8,70.3,10,25,1,1,1,0,0,1,0,NA,1,0,2,10,1,2,"resources, public perceptions, political patisanship, lack of planning horizon",2.559703397736818e-6,2.6775498162065596,5.490563788145475,16.536357555537144,88.47843820370794,0.8010524422601643,3.277093955260426,2077.7875,75.6,Northeast
Essex County,NJ,815.9,3.325,314484,666151.2045,1.05,1.6,0.05,0.05,0.2,0.15,7126.4,8335,346899.90099999995,83572.81999999999,7.095,789582.5,34013,374,39,108,15,2,-0.02,3,64522,75.2,31.4,76.4,60,19.15,27.6,21.75,31.5,392077,333844,37286,5140,15562,159117,730,37710,73093,165840,78.8,73.8,13,34,1,0,1,1,2,0,0,NA,0,1,1,0,1,1,resources and partisanship,2.0263873629418078e-6,0.84367523912954,42.28107892462155,20.152042376825726,49.656242381258444,0.6509769403450558,4.722242450915515,1159.3375,75.6,Northeast
Essex County,VA,148.59,2.705,5823,35000,0.2,0.1,0,0.1,0,0,0,35000,0,0,5.3,10936.5,51057,6,2,4,3,5,0.48,4,53538,70,37.5,77.5,72,22.1,36.25,24.25,17.4,6473,4256,86,82,254,349,77,447,1050,917,80.3,77.4,20,51,1,0,1,1,2,1,0,NA,0,1,2,13,0,2,"resources, and public perceptions",9.143693137658302e-6,3.200292598180405,38.915557993873726,3.191148905042747,59.18712568006218,0.7497828372879806,0.7863576098386138,1.6625,75.6,East
Fairfax County,VA,726.825,3.58,410068.5,64513.737,0.1,0.15,0,0,0.1,0.05,0,0,57013.737,7500,3.285,1075648.5,51059,297,19,54,13,5,-1.31,3,127898,167.3,35.6,78.7,70,8.4,13.35,20.1,58.2,743410,103150,192719,6888,35457,168482,3107,22588,47252,75724,79.7,75.8,20,51,1,0,1,1,2,1,0,NA,0,1,2,13,0,2,"resources, and public perceptions",1.3945075923965868e-7,0.0599765973735844,9.589563877047196,15.663295212144115,69.11272595090311,0.6403578864285127,17.91654057993852,355.9,77.75,East
Fairfield County,CT,614.345,1.225,368057.5,1468686.67,3.65,4.95,0,3.75,0.3,0.35,0,1078685.8025,185273.8,30709.96,5.19,914888,9001,373,27,159,9,1,2.25,4,96966,122.9,30.2,73.8,69,12.8,22.5,20.8,43.9,745332,106784,43878,4182,16590,155025,11222,148900,190062,308528,76.3,71.8,3,9,1,0,1,0,1,1,1,9,0,0,1,11,1,2,"resources, economic development differences, local control favored",5.410498334222331e-6,1.6053185417231397,11.671811194375705,16.94469705581448,81.46702109985048,0.45710513199429875,4.795996887050656,1480.825,74.05,Northeast
Flagler County,FL,290.20500000000004,7.57,49965,377493.64149999997,0.35,1.5,0.1,0.45,0,0.05,12885.35,121438.54,0,5571.7555,6.985,95383,12035,18,8,20,1,5,2.7,5,62831,106.1,58,81.6,75,10.95,33.1,32.75,23.15,80317,11221,2109,299,1745,8251,4107,46671,19712,112244,82.5,80.7,5,12,1,0,1,0,2,1,1,0,0,0,1,12,0,2,"differences in risk perceptions, politics, local decisions favored",1.5726072780264828e-5,3.9576616535441325,11.764150844490109,8.650388433997673,84.20473249950201,0.3134730507532789,2.2110858329052347,1156.65,81.6,South
Franklin County,FL,188.93,4.275,8655.5,117017.8585,0.5,0.4,0,0.3,0,0.05,0,50781.05,0,1236.8084999999999,4.815,11503,12037,4,4,12,1,5,2.66,5,47504,80.2,53.3,80.9,74,25.5,35.5,23.4,15.6,9674,1593,27,72,183,529,607,4281,30989,26653,82.5,81.1,5,12,1,0,1,0,2,1,1,0,0,0,1,12,0,2,"differences in risk perceptions, politics, local decisions favored",3.4773537338085716e-5,10.172812179431453,13.848561244892638,4.598800312961836,84.0998000521603,0.6259236720855429,0.23472137703207857,54.2,81.8,South
Galveston County,TX,299.07,4.695,141055,15556798.499,16.5,2.1,0.3,0.75,0.2,0.35,2807215.531,4013609.0475,8586063.2705,26819,6.09,290563.5,48167,115,34,48,5,7,1.87,4,73214,114.3,53.9,83.2,64,15.05,25.65,32.4,26.9,233754,41051,9004,2367,5122,65270,6929,427773,342179,1804575,84.4,82.7,19,48,1,0,1,0,1,1,0,NA,1,0,1,0,1,1,"politics, state industry economic influences",7.227335849134527e-6,53.54009880456423,14.128064949658164,22.463248136810027,80.44850781326629,0.8146239978524489,3.098806285028918,18279.95,83.55000000000001,South
Gates County,NC,135.60500000000002,1.27,5297.5,5375,0,0.1,0,0,0,0.1,0,0,0,5375,5.26,11566,37073,5,1,6,0,5,-1,3,54204,94.5,42.3,78.8,78,19.75,36.6,31.2,12.4,7828,4066,18,68,215,173,639,897,2397,1709,80.2,77.9,15,37,1,1,1,1,2,1,0,NA,0,1,1,0,1,2,politics,8.646031471554558e-6,0.46472419159605743,35.15476396334083,1.4957634445789383,67.68113435932906,0.5879301400657099,0.155628566487982,8.6,79.05000000000001,East
Georgetown County,SC,219.78,3.29,34523,780435.55,0.8,0.7,0.05,0.35,0,0.05,1250,59414.25,0,877.1,8.495,60302,45043,25,7,23,7,5,1.49,4,53747,95.4,47.8,80.9,73,18.8,29.5,28.05,23.65,38920,20343,283,158,454,1867,1804,17572,19616,44050,81,80.3,18,45,1,1,0,1,2,1,0,NA,0,1,1,0,0,1,differences between property owners and governance priorities,1.1608238532718649e-5,12.942117176876389,33.73519949587078,3.0960830486551028,64.5418062419157,0.2620145268813638,0.46930450067991114,305.425,80.65,East
Gloucester County,NJ,518.3499999999999,1.725,112331,170969.8,0.05,0.35,0,0.1,0.05,0.05,0,71276.05,5341.2,40000,6.07,288256,34015,119,25,76,3,2,-0.61,3,87996,102.6,32.4,75.7,60,11.4,34.45,26.7,27.5,244792,29775,7766,585,5341,13712,7751,24187,30236,50772,79.5,75.6,13,34,1,0,1,1,2,0,0,NA,0,1,1,0,1,1,resources and partisanship,1.2141984902309058e-6,0.5931179229573712,10.329360013321493,4.756882770870337,84.92173623445825,0.20294460479573714,2.6941329928952045,256.7,78.75,Northeast
Gloucester County,VA,191.98000000000002,2.9,16262.5,666803.5,5.95,0.9,0,0.6,0.2,0.05,0,509906.4,150045.1,6277.6,3.84,36773,51073,12,3,6,3,5,1.27,4,71715,93.8,39.3,77.5,72,14.35,32.05,33.15,20.45,32403,3234,289,156,775,935,1096,12930,22365,26657,80.7,78,20,51,1,0,1,1,2,1,0,NA,0,1,2,13,0,2,"resources, and public perceptions",2.44744785576374e-5,18.13296440323063,8.794495961711037,2.5426263834878853,88.11628096701384,0.42422429499904823,0.7859027003508009,53.65,78.75,East
